,Company,0216price,0216amt,0516price,0516amt,0816price,0816amt,1116price,1116amt,0216-0516chng,0516-0816chng
760,CREE INC,26.669659134,472297,29.1019662879,132534,24.4384057971,110400,25.7248912283,131468,-339763,-22134
761,CRESCENT PT ENERGY CORP,11.6485754224,463576,13.8396233606,1023366,15.7899230601,1241488,13.1994344483,309786,559790,218122
762,CRESTWOOD EQUITY PARTNERS LP,20.7797338087,1184712,11.6703421306,896032,20.1589909495,354234,21.2500377792,330870,-288680,-541798
763,CRESUD S A C I F Y A,12.8978593763,99784,11.644905479,99872,14.1261342927,105903,17.8613396005,97865,88,6031
764,CRH PLC,28.8199930507,305066,28.181180553,270890,29.580426264,272038,33.2690837996,651626,-34176,1148
765,CRITEO S A,39.5871842267,12984,41.3887799137,5098,45.9221708663,6707,35.0812859064,16362,-7886,1609
766,CROCS INC,10.2404483605,106343,9.62462391506,63483,11.2901539702,66961,8.29743970964,91474,-42860,3478
767,CROSSAMERICA PARTNERS LP,25.920220463,1605349,24.3302986578,1625874,24.5198219441,1628927,25.3899202285,1191654,20525,3053
768,CROWN CASTLE INTL CORP NEW,87.2282530062,3075609,86.5002583747,2225450,101.429858816,2496750,94.2095429454,1505028,-850159,271300
769,CROWN HOLDINGS INC,50.702529267,247463,49.5868247511,345132,50.6703893193,545131,57.0898659928,1375971,97669,199999
770,CSG SYS INTL INC,36.03719969,7742,45.1603826674,92404,40.3080742824,78942,41.3334674513,119298,84662,-13462
771,CSI COMPRESSCO LP,11.3999786848,3556147,5.75977162193,3259157,8.1600902527,3620058,10.589946657,3623531,-296990,360901
772,CSRA INC,30.0000338429,590966,26.8991831261,771845,23.4317069554,566412,26.9000466288,649813,180879,-205433
773,CSS INDS INC,28.3862229102,51680,27.9301560147,53777,26.8040851446,53462,25.5869561124,53113,2097,-315
774,CST BRANDS INC,39.1403198051,159222,38.2907457963,920144,43.0799696217,741319,48.0902492211,614033,760922,-178825
775,CSW INDUSTRIALS INC,37.6755265797,15952,31.4921018211,39756,32.5996221607,22761,32.3729362253,12356,23804,-16995
776,CSX CORP,25.9501780121,4486212,25.7498881652,4285339,26.0799121445,4578428,30.4999152408,3657420,-200873,293089
777,CTI BIOPHARMA CORP,1.23025943637,323509,0.531208499336,120480,0.340147920737,1490528,0.374438160992,1375394,-203029,1370048
778,CTRIP COM INTL LTD,46.3296391492,2433194,44.2597595364,3126045,41.1997750843,2253289,46.5699371411,2833330,692851,-872756
779,CTS CORP,17.6401419077,1495056,15.7399038275,1472563,17.9199204153,1572161,18.6001111412,1588969,-22493,99598
780,CUBESMART,30.6199620951,4742919,33.2999878318,4980182,30.8799772292,4440774,27.2600109634,4370908,237263,-539408
781,CUBIC CORP,47.2256276318,18761,39.9759090567,13283,40.1423034036,18833,46.8122902823,30398,-5478,5550
782,CULLEN FROST BANKERS INC,59.9968559815,222645,55.1077835466,277547,63.7288235093,408826,71.9397651375,523285,54902,131279
783,CULP INC,25.4963733607,13649,26.2375988316,19857,27.6493558957,22279,29.7715665703,25259,6208,2422
784,CUMMINS INC,88.0093612893,740069,109.939945849,2805468,112.44039837,1040240,128.150372734,797485,2065399,-1765228
785,CUMULUS MEDIA INC,0.330187180717,1920123,0.464914970373,903391,0.310297109482,799234,0.330312270114,759887,-1016732,-104157
786,CURIS INC,2.88766965059,10389,1.61893150521,50033,1.56146910051,45470,2.61448264934,88354,39644,-4563
787,CURRENCYSHARES AUSTRALIAN DL,72.9674150957,226608,76.7501956288,219804,74.639224036,219804,76.6164263871,219744,-6804,0
788,CURRENCYSHARES CDN DLR TR,71.6763652641,17872,76.3061033896,18203,76.6327535281,18282,75.3983463834,18263,331,79
789,CURRENCYSHARES EURO TR,106.399086073,438547,111.180364075,442821,108.169870787,470852,109.351048689,437737,4274,28031
790,CURRENCYSHARES SWISS FRANC T,96.3533818401,23227,100.185129375,23227,98.2907822792,23227,98.5491023378,23227,0,0
791,CURRENCYSHS BRIT POUND STER,144.324324324,7400,140.540540541,7400,130.165567371,7429,126.665769283,7429,0,29
792,CURRENCYSHS JAPANESE YEN TR,80.630081679,429976,86.0188730198,396227,93.580224124,314201,95.2106416839,166515,-33749,-82026
793,CURTISS WRIGHT CORP,68.4996998932,769726,75.6698365786,1139569,84.249808467,1011575,91.1100203352,1069575,369843,-127994
794,CUSTOMERS BANCORP INC,27.2068979951,23891,23.62674855,11724,25.125301048,30726,25.1630847029,98875,-12167,19002
795,CVB FINL CORP,16.9198173077,3180649,17.4498688083,3533379,16.3900454852,3638550,17.6101042259,3773629,352730,105171
796,CVENT INC,34.9182521294,30643,21.3861290866,41569,35.7192480483,582963,31.709780943,436553,10926,541394
797,CVR ENERGY INC,39.3488515758,511527,26.0990440965,326602,15.5001140896,311159,13.7667813898,119999,-184925,-15443
798,CVR REFNG LP,18.9297985292,2727393,12.0799582188,1547108,7.75016564171,1071590,8.76824512719,302341,-1180285,-475518
799,CVS HEALTH CORP,97.7702030623,4192310,103.730198834,3403840,95.7399116987,3885788,88.9901269289,3245596,-788470,481948
800,CYNOSURE INC,44.6909667195,6310,44.1130000632,15823,48.638240102,72186,50.9388423896,90324,9513,56363
801,CYPRESS SEMICONDUCTOR CORP,9.81000675893,4238835,8.65988762876,3960444,10.5499185235,6187062,12.1599384202,6646333,-278391,2226618
802,CYRUSONE INC,37.4496993697,2812092,45.6501096865,3139401,55.6600786997,3101918,47.5700820251,3163543,327309,-37483
803,CYS INVTS INC,7.12961593024,574505,8.13954278884,1618027,8.36993496422,1150905,8.71992966531,1043013,1043522,-467122
804,D R HORTON INC,32.0305788507,2841441,30.2298568214,4017849,31.4798922835,3073994,30.1999122211,3925773,1176408,-943855
805,DANAHER CORP DEL,92.8799778874,2250302,94.8602057529,2432432,100.999917268,2272388,78.3900064492,2829825,182130,-160044
