nameOfIssuer,sshPrnamt,value
BLACKROCK KELSO CAPITAL CORP,366938,3343
BLACKROCK LONG-TERM MUNI ADV,36972,417
BLACKROCK MULTI-SECTOR INC T,13059,242
BLACKROCK MUNI INCOME INV QL,27497,389
BLACKROCK MUNI INTER DR FD I,103158,1506
BLACKROCK MUNIHLDGS NJ QLTY,46084,661
BLACKROCK MUNIHLDGS NY QLTY,59598,821
BLACKROCK MUNIHLDNGS CALI QL,120808,1730
BLACKROCK MUNIY QUALITY FD I,57690,738
BLACKROCK MUNIYIELD CALIF FD,58872,890
BLACKROCK MUNIYIELD NY QLTY,75911,1001
BLACKROCK MUNIYIELD PA QLTY,28559,402
BLACKROCK MUNIYLD INVST QLTY,29843,401
BLACKROCK MUNIYLD MICH QLTY,96333,1316
BLACKROCK REAL ASSET EQUITY,15409,145
BLACKROCK RES & COMM STRAT T,13322,165
BLACKSTONE GROUP L P,3337750,111615
BLACKSTONE MTG TR INC,2319734,67272
BLDRS INDEX FDS TR,74042,2204
BLOCK H & R INC,2117570,70981
BLOOMIN BRANDS INC,2077184,46591
BLUCORA INC,109214,2061
BLUE NILE INC,17892,501
BLUEBIRD BIO INC,317044,12228
BLUELINX HLDGS INC,34738,49
BLYTH INC,72730,566
BOARDWALK PIPELINE PARTNERS,2032572,37603
BOB EVANS FARMS INC,41647,2085
BODY CENT CORP,155034,137
BOEING CO,5947118,756652
BOFI HLDG INC,17404,1279
BOINGO WIRELESS INC,12215,83
BOISE CASCADE CO DEL,47506,1361
BOK FINL CORP,154568,10294
BOLT TECHNOLOGY CORP,11706,215
BON-TON STORES INC,46375,478
BONA FILM GROUP LTD,61186,379
BONANZA CREEK ENERGY INC,232045,13271
BOOZ ALLEN HAMILTON HLDG COR,252658,5366
BORDERFREE INC,75537,1252
BORGWARNER INC,780309,50868
BOSTON BEER INC,26636,5954
BOSTON PRIVATE FINL HLDGS IN,3341132,44904
BOSTON PROPERTIES INC,1013938,119827
BOSTON SCIENTIFIC CORP,6372006,81371
BOTTOMLINE TECH DEL INC,26731,799
BOULDER BRANDS INC,42277,599
BOULDER GROWTH & INCOME FD I,313471,2671
BOULDER TOTAL RETURN FD INC,313316,8040
BOYD GAMING CORP,228718,2775
BP PLC,4900849,258519
BP PRUDHOE BAY RTY TR,7369,729
BPZ RESOURCES INC,110498,340
BRADY CORP,38356,1146
BRANDYWINE RLTY TR,4917254,76709
BRASKEM S A,19730,254
BRAVO BRIO RESTAURANT GROUP,1420514,22174
BREITBURN ENERGY PARTNERS LP,76991,1703
BRF SA,1916211,46583
BRIDGE CAP HLDGS,557932,13508
BRIDGEPOINT ED INC,155927,2071
BRIGGS & STRATTON CORP,9956,204
BRIGHT HORIZONS FAM SOL IN D,39774,1708
BRIGHTCOVE INC,28743,303
BRINKER INTL INC,234792,11423
BRINKS CO,18990,536
BRISTOL MYERS SQUIBB CO,6820656,330870
BRISTOW GROUP INC,32493,2620
BRITISH AMERN TOB PLC,200746,23905
BRIXMOR PPTY GROUP INC,4460606,102371
BROADCOM CORP,2460070,91318
BROADRIDGE FINL SOLUTIONS IN,425970,17737
BROADSOFT INC,14287,377
BROCADE COMMUNICATIONS SYS I,4573788,42079
BROOKDALE SR LIVING INC,524138,17475
BROOKFIELD ASSET MGMT INC,657796,28956
BROOKFIELD INFRAST PARTNERS,9412,393
BROOKFIELD PPTY PARTNERS L P,1427274,29787
BROOKFIELD RENEWABLE ENRGY P,16305,484
BROOKLINE BANCORP INC DEL,1608365,15071
BROOKS AUTOMATION INC,209269,2254
BROWN & BROWN INC,248090,7619
BROWN FORMAN CORP,491763,46278
BROWN SHOE INC NEW,307327,8792
BRUKER CORP,631895,15336
BRUNSWICK CORP,905452,38146
BRYN MAWR BK CORP,11558,337
BSD MED CORP DEL,11582,11
BT GROUP PLC,167502,10993
BUCKEYE PARTNERS L P,2962829,246093
BUCKLE INC,160949,7140
BUFFALO WILD WINGS INC,80418,13326
BUILD A BEAR WORKSHOP,62423,834
BUILDERS FIRSTSOURCE INC,23292,174
BUNGE LIMITED,251314,19009
BURGER KING WORLDWIDE INC,206653,5625
BURLINGTON STORES INC,833445,26554
C D I CORP,73742,1062
C H ROBINSON WORLDWIDE INC,2103113,134158
C&J ENERGY SVCS INC,54137,1829
CA INC,2752525,79108
CABELAS INC,167098,10427
CABLEVISION SYS CORP,1812578,31992
CABOT CORP,153552,8904
CABOT MICROELECTRONICS CORP,1109492,49538
CABOT OIL & GAS CORP,1436847,49054
CACI INTL INC,682480,47917
CADENCE DESIGN SYSTEM INC,514748,9003
CAE INC,272558,3578
CAESARS ACQUISITION CO,1543828,19097
CAESARS ENTMT CORP,298163,5391
CAESARSTONE SDOT-YAM LTD,1943,95
CAL DIVE INTL INC DEL,238448,315
CAL MAINE FOODS INC,67625,5026
CALAMOS ASSET MGMT INC,59908,802
CALAMOS STRATEGIC TOTL RETN,12188,146
CALAMP CORP,21804,472
CALAVO GROWERS INC,68336,2312
CALGON CARBON CORP,55500,1239
CALIFORNIA WTR SVC GROUP,36629,886
CALIX INC,1900903,15549
CALLAWAY GOLF CO,118853,989
CALLIDUS SOFTWARE INC,22306,266
CALLON PETE CO DEL,181580,2115
CALPINE CORP,9095898,216573
CALUMET SPECIALTY PRODS PTNR,57822,1838
CAMBREX CORP,75167,1556
CAMDEN PPTY TR,3799777,270354
CAMECO CORP,233520,4580
CAMERON INTERNATIONAL CORP,5492095,371870
CAMPBELL SOUP CO,804265,36844
CAMPUS CREST CMNTYS INC,58624,508
CANADIAN NAT RES LTD,707721,32492
CANADIAN NATL RY CO,598002,38883
CANADIAN PAC RY LTD,130527,23643
CANADIAN SOLAR INC,164715,5149
CANCER GENETICS INC,12674,143
CANON INC,959201,31414
CANTEL MEDICAL CORP,42098,1542
CAPELLA EDUCATION COMPANY,36100,1963
CAPITAL ONE FINL CORP,4189638,346063
CAPITAL PRODUCT PARTNERS L P,2764000,31565
CAPITAL SOUTHWEST CORP,59892,2157
CAPITAL SR LIVING CORP,45806,1092
CAPITALA FIN CORP,17290,327
CAPITOL FED FINL INC,49864,607
CAPSTEAD MTG CORP,243173,3197
CAPSTONE TURBINE CORP,144321,218
CARBO CERAMICS INC,55691,8584
CARDINAL FINL CORP,31250,577
CARDINAL HEALTH INC,6015391,412415
CARDIOVASCULAR SYS INC DEL,33986,1059
CARDTRONICS INC,17111,583
CAREER EDUCATION CORP,32340,151
CAREFUSION CORP,4639370,205756
CARETRUST REIT INC,43208,856
CARLISLE COS INC,2592475,224561
CARLYLE GROUP L P,66870,2271
CARMAX INC,542064,28193
CARMIKE CINEMAS INC,552070,19395
CARNIVAL CORP,2828260,106484
CARNIVAL PLC,42638,1618
CARPENTER TECHNOLOGY CORP,78699,4978
CARRIZO OIL & GAS INC,416454,28844
CARROLS RESTAURANT GROUP INC,26060,186
CARTER INC,885682,61050
CARVER BANCORP INC,181033,1711
CASCADE BANCORP,13137,68
CASELLA WASTE SYS INC,101661,510
CASEYS GEN STORES INC,81112,5701
CASH AMER INTL INC,116817,5190
CASS INFORMATION SYS INC,15458,765
CASTLE A M & CO,396046,4372
CASTLIGHT HEALTH INC,16603,252
CATAMARAN CORP,290324,12820
CATCHMARK TIMBER TR INC,17365,237
CATERPILLAR INC DEL,3779069,410672
CATHAY GEN BANCORP,190791,4876
CATO CORP NEW,120369,3720
CAVCO INDS INC DEL,23820,2032
CAVIUM INC,148239,7362
CBEYOND INC,101864,1014
CBIZ INC,46654,421
CBL & ASSOC PPTYS INC,8026752,152508
CBOE HLDGS INC,196755,9682
CBRE CLARION GLOBAL REAL EST,12138,111
CBRE GROUP INC,17587702,563510
CBS CORP NEW,7441483,462414
