nameOfIssuer,value,sshPrnamt,Sole,Shared,None
MAGELLAN MIDSTREAM PRTNRS LP,591830,9354033,8634093,0,719940
MAGICJACK VOCALTEC LTD,819,68700,68700,0,0
MAGNA INTL INC,47591,579951,567451,0,12500
MAGNACHIP SEMICONDUCTOR CORP,945,48477,48477,0,0
MAGNETEK INC,263,10958,10958,0,0
MAGNUM HUNTER RES CORP DEL,3922,536492,536492,0,0
MAIDEN HOLDINGS LTD,32189,2945004,2773117,0,171887
MAIN STREET CAPITAL CORP,1654,50583,50583,0,0
MAINSOURCE FINANCIAL GP INC,451,25030,25030,0,0
MALLINCKRODT PUB LTD CO,64886,1241607,1222044,0,19563
MAM SOFTWARE GROUP INC,52,10361,10361,0,0
MANAGED DURATION INVT GRD FU,262,21099,21099,0,0
MANAGED HIGH YIELD PLUS FD I,91,44729,44729,0,0
MANHATTAN ASSOCS INC,11000,93633,88808,0,4825
MANITOWOC INC,3478,149120,149120,0,0
MANNING & NAPIER INC,5869,332518,310309,0,22209
MANNKIND CORP,782,150236,150236,0,0
MANPOWERGROUP INC,56384,656705,558732,11955,86018
MANTECH INTL CORP,3807,127183,127183,0,0
MANULIFE FINL CORP,32517,1648064,1597093,0,50971
MARATHON OIL CORP,84514,2394176,2383398,0,10778
MARATHON PETE CORP,148985,1624171,1613802,0,10369
MARCHEX INC,1329,153651,153651,0,0
MARCUS CORP,1011,75240,75240,0,0
MARIN SOFTWARE INC,431,42052,42052,0,0
MARINE PRODS CORP,256,25438,25438,0,0
MARINEMAX INC,1062,66070,66070,0,0
MARKEL CORP,11264,19409,16264,0,3145
MARKET VECTORS ETF TR,467111,12601401,9648193,0,2953208
MARKETAXESS HLDGS INC,32962,492511,468522,0,23989
MARKETO INC,482,12997,4542,0,8455
MARKWEST ENERGY PARTNERS L P,543748,8222416,8202521,0,19895
MARLIN BUSINESS SVCS CORP,1580,62668,62668,0,0
MARRIOTT INTL INC NEW,184397,3736436,3632153,10488,93795
MARRIOTT VACATIONS WRLDWDE C,45699,866156,821266,0,44890
MARSH & MCLENNAN COS INC,96334,1992032,1987743,0,4289
MARTEN TRANS LTD,1614,79954,79954,0,0
MARTHA STEWART LIVING OMNIME,78,18556,18556,0,0
MARTIN MARIETTA MATLS INC,14116,141253,115793,0,25460
MARTIN MIDSTREAM PRTNRS L P,367,8564,8564,0,0
MARVELL TECHNOLOGY GROUP LTD,18340,1275386,1275386,0,0
MASCO CORP,61860,2716701,2671723,0,44978
MASIMO CORP,6295,215363,215363,0,0
MASONITE INTL CORP NEW,60947,1015783,1014108,0,1675
MASTEC INC,3629,110923,110923,0,0
MASTERCARD INC,625388,748555,708020,3497,37038
MATADOR RES CO,1507,80856,80856,0,0
MATERION CORP,3413,110634,110634,0,0
MATRIX SVC CO,2746,112413,112413,0,0
MATSON INC,2713,103897,103897,0,0
MATTEL INC,60815,1278182,1275762,0,2420
MATTERSIGHT CORP,96,20015,20015,0,0
MATTHEWS INTL CORP,1484,34833,34833,0,0
MATTRESS FIRM HLDG CORP,525,12204,12204,0,0
MATTSON TECHNOLOGY INC,53,19503,19503,0,0
MAVENIR SYS INC,5846,523862,523862,0,0
MAXIM INTEGRATED PRODS INC,230479,8260865,7828802,44685,387378
MAXIMUS INC,7978,181363,181363,0,0
MAXWELL TECHNOLOGIES INC,105,13493,13493,0,0
MAZOR ROBOTICS LTD,696,35649,35649,0,0
MB FINANCIAL INC NEW,61534,1919319,1816055,0,103264
MBIA INC,15738,1318087,1318087,0,0
MBT FINL CORP,149,34866,34866,0,0
MCCLATCHY CO,93,27221,25444,0,1777
MCCORMICK & CO INC,20714,300550,300550,0,0
MCDERMOTT INTL INC,1873,204522,204522,0,0
MCDONALDS CORP,400589,4128520,3618727,6085,503708
MCEWEN MNG INC,139,71029,71029,0,0
MCG CAPITAL CORP,411,93380,93380,0,0
MCGRATH RENTCORP,2290,57549,57549,0,0
MCGRAW HILL FINL INC,76562,979055,949700,0,29355
MCKESSON CORP,258229,1599927,1375934,7886,216107
MDC PARTNERS INC,1380,54082,54082,0,0
MDU RES GROUP INC,12126,396924,396924,0,0
MEAD JOHNSON NUTRITION CO,66702,796362,691484,1173,103705
MEADOWBROOK INS GROUP INC,20684,2971865,2796866,0,174999
MEADWESTVACO CORP,23529,637107,635850,0,1257
MEASUREMENT SPECIALTIES INC,1807,29778,29778,0,0
MECHEL OAO,1476,576695,576695,0,0
MEDALLION FINL CORP,728,50762,50762,0,0
MEDASSETS INC,18350,925372,925372,0,0
MEDIA GEN INC,1736,76833,76833,0,0
MEDICAL ACTION INDS INC,496,57994,57994,0,0
MEDICAL PPTYS TRUST INC,9815,803156,803156,0,0
MEDICINES CO,13390,346723,346723,0,0
MEDIDATA SOLUTIONS INC,10053,166166,166166,0,0
MEDIFAST INC,1336,51122,51122,0,0
MEDIVATION INC,68711,1076640,1044444,5987,26209
MEDLEY CAP CORP,859,61999,61999,0,0
MEDNAX INC,69989,1311139,1279329,5894,25916
MEDTRONIC INC,255349,4449359,4143744,40247,265368
MEETME INC,56,30489,30489,0,0
MEI PHARMA INC,264,33015,33015,0,0
MELA SCIENCES INC,38,59330,59330,0,0
MELCO CROWN ENTMT LTD,1379,35152,32452,0,2700
MELLANOX TECHNOLOGIES LTD,2910,72807,72807,0,0
MEMORIAL PRODTN PARTNERS LP,57400,2616240,2616240,0,0
MENS WEARHOUSE INC,82632,1617694,728461,0,889233
MENTOR GRAPHICS CORP,5201,216081,216081,0,0
MERCADOLIBRE INC,2568,23823,23823,0,0
MERCER INTL INC,296,29697,29697,0,0
MERCK & CO INC NEW,1159478,23166411,19093050,222065,3851296
MERCURY GENL CORP NEW,28835,580060,580060,0,0
MERCURY SYS INC,969,88511,88511,0,0
MEREDITH CORP,8373,161647,161354,0,293
MERGE HEALTHCARE INC,85,36532,36532,0,0
MERIDIAN BIOSCIENCE INC,5304,199917,199917,0,0
MERIT MED SYS INC,2296,145891,145891,0,0
MERITAGE HOMES CORP,66392,1383459,1323771,0,59688
MERITOR INC,1218,116700,114700,0,2000
MERRIMACK PHARMACEUTICALS IN,920,172533,172533,0,0
MERU NETWORKS INC,203,47143,47143,0,0
METALICO INC,40,19564,19564,0,0
METHANEX CORP,54123,913607,862728,0,50879
METHODE ELECTRS INC,3723,108896,108896,0,0
METLIFE INC,392129,7415201,7228484,17775,168942
METTLER TOLEDO INTERNATIONAL,80500,331833,322119,1801,7913
MFA FINL INC,126887,17972619,17525843,0,446776
MFS CHARTER INCOME TR,521,57617,57617,0,0
MFS GOVT MKTS INCOME TR,152,26575,26575,0,0
MFS INTER INCOME TR,743,143475,143475,0,0
MFS MULTIMARKET INCOME TR,429,64748,64748,0,0
MFS MUN INCOME TR,606,96898,96898,0,0
MGE ENERGY INC,2628,45527,45527,0,0
MGIC INVT CORP WIS,77425,9173574,8814878,57626,301070
MGM RESORTS INTERNATIONAL,261792,11130592,10977704,87344,65544
MICHAEL KORS HLDGS LTD,41444,510456,484460,0,25996
MICREL INC,15387,1559019,1472730,0,86289
MICROCHIP TECHNOLOGY INC,30898,690462,690162,0,300
MICRON TECHNOLOGY INC,87741,4034065,4014378,19187,500
MICROS SYS INC,109847,1914709,1836129,8964,69616
MICROSEMI CORP,6528,261643,261643,0,0
MICROSOFT CORP,1833257,49004486,43340391,166981,5497114
MICROSTRATEGY INC,4030,32435,32435,0,0
MID CON ENERGY PARTNERS LP,6857,300081,300081,0,0
MID-AMER APT CMNTYS INC,85771,1412108,1376314,188,35606
MIDDLEBY CORP,8014,33433,33433,0,0
MIDDLESEX WATER CO,1024,48920,48920,0,0
MIDSTATES PETE CO INC,295,44566,44566,0,0
MIDWAY GOLD CORP,20,24176,24176,0,0
MILLENNIAL MEDIA INC,1045,143714,143714,0,0
MILLER ENERGY RES INC,84,11985,11985,0,0
MILLER HERMAN INC,4555,154297,154297,0,0
MILLER INDS INC TENN,875,46945,46945,0,0
MIMEDX GROUP INC,373,42727,42727,0,0
MINDRAY MEDICAL INTL LTD,8009,220277,218777,0,1500
MINE SAFETY APPLIANCES CO,5377,105012,105012,0,0
MINERALS TECHNOLOGIES INC,5105,84976,84976,0,0
MIRATI THERAPEUTICS INC,446,26847,26847,0,0
MISTRAS GROUP INC,328,15703,15703,0,0
MITCHAM INDS INC,247,13964,13964,0,0
MITEK SYS INC,81,13629,13629,0,0
MITSUBISHI UFJ FINL GROUP IN,22637,3388722,3388722,0,0
MIZUHO FINL GROUP INC,7293,1672718,1672718,0,0
MKS INSTRUMENT INC,44625,1491483,1405311,0,86172
MOBILE MINI INC,49737,1207787,1142635,0,65152
MOBILE TELESYSTEMS OJSC,72058,3331359,3331359,0,0
MODEL N INC,2209,187387,187387,0,0
MODINE MFG CO,812,63351,63351,0,0
MODUSLINK GLOBAL SOLUTIONS I,348,60954,60954,0,0
MOHAWK INDS INC,62865,422198,422020,0,178
MOLINA HEALTHCARE INC,4615,132822,132822,0,0
MOLSON COORS BREWING CO,38703,689264,659024,0,30240
MOLYCORP INC DEL,1280,227761,227761,0,0
MOMENTA PHARMACEUTICALS INC,3939,222792,222792,0,0
MONARCH CASINO & RESORT INC,704,35078,35078,0,0
MONDELEZ INTL INC,239902,6796089,6594044,0,202045
MONEYGRAM INTL INC,1059,50970,50970,0,0
MONMOUTH REAL ESTATE INVT CO,249,27389,27389,0,0
MONOLITHIC PWR SYS INC,3778,109012,109012,0,0
MONOTYPE IMAGING HOLDINGS IN,33522,1052168,994186,0,57982
MONRO MUFFLER BRAKE INC,28977,514155,491037,0,23118
MONSANTO CO NEW,226725,1945302,1756631,0,188671
MONSTER BEVERAGE CORP,261663,3861047,3820504,26736,13807
MONSTER WORLDWIDE INC,2870,402457,401068,0,1389
MONTAGE TECHNOLOGY GROUP LTD,1668,102286,102286,0,0
MONTPELIER RE HOLDINGS LTD,771,26483,26483,0,0
MOODYS CORP,71400,909893,904330,0,5563
MOOG INC,69312,1020203,965537,0,54666
MORGAN STANLEY,281708,8983023,8514829,136618,331576
MORGAN STANLEY ASIA PAC FD I,18118,1094074,1094074,0,0
MORGAN STANLEY CHINA A SH FD,823,34560,0,0,34560
MORGAN STANLEY EM MKTS DM DE,465,35695,13113,0,22582
MORGAN STANLEY EMER MKTS DEB,234,24495,24495,0,0
MORGANS HOTEL GROUP CO,223,27448,27448,0,0
MORNINGSTAR INC,382,4891,4891,0,0
MOSAIC CO NEW,69819,1477030,1440598,0,36432
MOSYS INC,339,61407,61407,0,0
MOTOROLA SOLUTIONS INC,152286,2256104,2253047,0,3057
MOVADO GROUP INC,54457,1237374,1167994,0,69380
MOVE INC,1781,111403,111403,0,0
MPLX LP,39944,896823,896823,0,0
MRC GLOBAL INC,226,7017,7017,0,0
MSC INDL DIRECT INC,18124,224109,224109,0,0
MSCI INC,212309,4856124,4576032,28181,251911
MTR GAMING GROUP INC,204,39581,39581,0,0
MTS SYS CORP,2392,33660,33660,0,0
MUELLER INDS INC,5722,90817,90817,0,0
MUELLER WTR PRODS INC,1409,150395,150395,0,0
MULTI COLOR CORP,989,26194,26194,0,0
MULTI FINELINE ELECTRONIX IN,273,19671,19671,0,0
MULTIMEDIA GAMES HLDG CO INC,3476,110845,110845,0,0
MURPHY OIL CORP,129673,1998654,789624,0,1209030
MURPHY USA INC,21004,505393,445393,0,60000
MVC CAPITAL INC,732,54274,54274,0,0
MWI VETERINARY SUPPLY INC,5775,33977,33977,0,0
MYERS INDS INC,2374,112383,112383,0,0
MYLAN INC,118066,2720409,2651550,36350,32509
MYR GROUP INC DEL,24365,971511,910542,0,60969
MYRIAD GENETICS INC,14035,668958,668958,0,0
NABORS INDUSTRIES LTD,20982,1234955,1226830,0,8125
NACCO INDS INC,1815,29186,29186,0,0
NANOMETRICS INC,957,50250,50250,0,0
NANOSPHERE INC,117,51131,51131,0,0
NANOVIRICIDES INC,950,197998,197998,0,0
NASDAQ OMX GROUP INC,222766,5597142,5542260,0,54882
NATIONAL BEVERAGE CORP,592,29372,29372,0,0
NATIONAL BK GREECE S A,482,86137,86137,0,0
NATIONAL BK HLDGS CORP,215,10053,10053,0,0
NATIONAL CINEMEDIA INC,3696,185173,185173,0,0
NATIONAL FUEL GAS CO N J,13974,195714,195714,0,0
NATIONAL GRID PLC,7013,107360,107360,0,0
NATIONAL HEALTH INVS INC,42194,752108,709948,0,42160
NATIONAL HEALTHCARE CORP,1551,28766,28766,0,0
NATIONAL INSTRS CORP,4042,126228,126228,0,0
NATIONAL INTERSTATE CORP,282,12265,12265,0,0
NATIONAL OILWELL VARCO INC,107561,1352453,1314084,0,38369
NATIONAL PENN BANCSHARES INC,5473,483043,483043,0,0
NATIONAL PRESTO INDS INC,842,10456,10456,0,0
NATIONAL RETAIL PROPERTIES I,95641,3153333,3153333,0,0
NATIONAL WESTN LIFE INS CO,257,1150,1150,0,0
NATIONSTAR MTG HLDGS INC,21511,582010,582010,0,0
NATURAL GAS SERVICES GROUP,722,26188,26188,0,0
NATURAL RESOURCE PARTNERS L,1075,53914,53914,0,0
NATURES SUNSHINE PRODUCTS IN,272,15679,15679,0,0
NATUS MEDICAL INC DEL,6352,282327,282327,0,0
NAUTILUS INC,478,56691,55698,0,993
NAVIDEA BIOPHARMACEUTICALS I,137,66181,66181,0,0
NAVIGANT CONSULTING INC,4272,222478,222478,0,0
NAVIGATORS GROUP INC,2543,40265,40265,0,0
NAVIOS MARITIME ACQUIS CORP,9821,2232000,2232000,0,0
NAVIOS MARITIME HOLDINGS INC,409,36703,36703,0,0
NAVIOS MARITIME PARTNERS L P,26040,1361927,1361927,0,0
NAVISTAR INTL CORP NEW,1700,44508,44508,0,0
NBT BANCORP INC,2476,95605,95605,0,0
NCI BUILDING SYS INC,4252,242406,242406,0,0
NCI INC,169,25562,25562,0,0
NCR CORP NEW,17086,501647,501479,0,168
NEENAH PAPER INC,3043,71150,71150,0,0
NEKTAR THERAPEUTICS,3019,266015,266015,0,0
NELNET INC,6151,145954,145954,0,0
NEOGEN CORP,6404,140131,140131,0,0
NEONODE INC,103,16302,16302,0,0
NEOPHOTONICS CORP,120,16946,16946,0,0
NEOSTEM INC,201,29415,29415,0,0
NET 1 UEPS TECHNOLOGIES INC,347,39740,39740,0,0
NETAPP INC,183365,4457085,4435716,0,21369
NETEASE INC,12596,160259,160259,0,0
NETFLIX INC,133823,363481,354696,0,8785
NETGEAR INC,3476,105517,105517,0,0
NETQIN MOBILE INC,1391,94626,94626,0,0
NETSCOUT SYS INC,25230,852648,806630,0,46018
NETSUITE INC,49589,481353,481353,0,0
NEUROCRINE BIOSCIENCES INC,3921,419850,419850,0,0
NEUSTAR INC,7922,158862,158862,0,0
NEVSUN RES LTD,2740,825244,825244,0,0
NEW AMER HIGH INCOME FD INC,222,23016,23016,0,0
NEW GOLD INC CDA,5311,1013542,1013542,0,0
NEW JERSEY RES,5650,122194,122194,0,0
NEW MTN FIN CORP,14421,958831,901291,0,57540
NEW ORIENTAL ED & TECH GRP I,1987,63075,18035,0,45040
NEW RESIDENTIAL INVT CORP,6861,1027245,1027245,0,0
NEW SOURCE ENERGY PARTNERS L,9990,427450,427450,0,0
NEW YORK & CO INC,154,35024,35024,0,0
NEW YORK CMNTY BANCORP INC,91374,5422781,5414381,0,8400
NEW YORK MTG TR INC,354,50656,50656,0,0
NEW YORK TIMES CO,5683,358118,315924,0,42194
NEWBRIDGE BANCORP,89,12015,12015,0,0
NEWCASTLE INVT CORP,17782,3097975,3097975,0,0
NEWELL RUBBERMAID INC,66490,2051533,2044598,0,6935
NEWFIELD EXPL CO,25189,1022700,1011113,0,11587
NEWLINK GENETICS CORP,99,4512,4512,0,0
NEWMARKET CORP,5411,16192,16192,0,0
NEWMONT MINING CORP,75536,3279909,3279069,0,840
NEWPARK RES INC,59752,4861863,4584362,0,277501
NEWPORT CORP,43736,2420402,2278832,0,141570
NEWS CORP NEW,62877,3489835,3488949,0,886
NEWSTAR FINANCIAL INC,1256,70674,70674,0,0
NEXSTAR BROADCASTING GROUP I,1270,22780,22780,0,0
NEXTERA ENERGY INC,291780,3668613,3613377,31249,23987
NGL ENERGY PARTNERS LP,170908,4953851,4953851,0,0
NGP CAP RES CO,233,31197,31197,0,0
NIC INC,3881,156072,156072,0,0
NICE SYS LTD,874,21349,21349,0,0
NICHOLAS FINANCIAL INC,209,13296,13296,0,0
NIDEC CORP,2031,82175,82175,0,0
NIELSEN HOLDINGS N V,28218,614920,614180,0,740
NII HLDGS INC,3338,1213707,1213707,0,0
NIKE INC,835128,10619635,6635724,30078,3953833
NIMBLE STORAGE INC,5109,112778,111178,0,1600
NIPPON TELEG & TEL CORP,14806,547597,547597,0,0
NISKA GAS STORAGE PARTNERS L,203,13773,58,0,13715
NISOURCE INC,33221,1010370,1010370,0,0
NMI HLDGS INC,150,11800,11800,0,0
NN INC,629,31173,31173,0,0
NOAH HLDGS LTD,1981,110064,110064,0,0
NOBLE CORP PLC,22609,603379,603020,0,359
NOBLE ENERGY INC,66500,976359,961475,0,14884
NOKIA CORP,41509,5118182,5102081,0,16101
NOMURA HLDGS INC,5257,676540,676540,0,0
NOODLES & CO,442,12295,12295,0,0
NORANDA ALUM HLDG CORP,154,46929,46929,0,0
NORDIC AMERICAN TANKERS LIMI,591,60946,60946,0,0
NORDION INC,25918,3052807,3052807,0,0
NORDSON CORP,5278,71046,71046,0,0
NORDSTROM INC,29968,484912,484858,0,54
NORFOLK SOUTHERN CORP,91953,990555,914421,0,76134
NORTH AMERN PALLADIUM LTD,103,157988,157988,0,0
NORTH VALLEY BANCORP,488,25785,25785,0,0
NORTHEAST UTILS,39455,930765,927996,0,2769
NORTHERN DYNASTY MINERALS LT,434,338785,338785,0,0
NORTHERN OIL & GAS INC NEV,4054,269016,269016,0,0
NORTHERN TIER ENERGY LP,61800,2512182,2497352,0,14830
NORTHERN TR CORP,121280,1959591,1076044,0,883547
NORTHFIELD BANCORP INC DEL,573,43381,43381,0,0
NORTHROP GRUMMAN CORP,139117,1213833,1194529,16456,2848
NORTHSTAR RLTY FIN CORP,10636,790803,790803,0,0
NORTHWEST BANCSHARES INC MD,3072,207804,207804,0,0
NORTHWEST BIOTHERAPEUTICS IN,2340,620700,620700,0,0
NORTHWEST NAT GAS CO,3837,89611,89611,0,0
NORTHWEST PIPE CO,293,7764,7764,0,0
NORTHWESTERN CORP,39372,908884,860044,0,48840
NORWEGIAN CRUISE LINE HLDGS,92329,2603024,2512008,16924,74092
NOVA MEASURING INSTRUMENTS L,493,50101,50101,0,0
NOVACOPPER INC,986,648465,648465,0,0
NOVAGOLD RES INC,233,91514,91514,0,0
NOVARTIS A G,56238,699651,691106,0,8545
NOVATEL WIRELESS INC,24,10085,10085,0,0
NOVAVAX INC,407,79620,79620,0,0
NOVO-NORDISK A S,14764,79909,69476,0,10433
NPS PHARMACEUTICALS INC,8312,273798,273798,0,0
NRG ENERGY INC,32729,1139583,1137238,0,2345
NRG YIELD INC,852,21291,21291,0,0
NTELOS HLDGS CORP,1837,90790,90790,0,0
NTN BUZZTIME INC,7,11100,11100,0,0
NTT DOCOMO INC,4610,279212,279212,0,0
NU SKIN ENTERPRISES INC,27812,201217,201217,0,0
NUANCE COMMUNICATIONS INC,8551,562556,521556,0,41000
NUCOR CORP,61482,1151779,1114503,0,37276
NUMEREX CORP PA,150,11607,11607,0,0
NUPATHE INC,100,30582,30582,0,0
NUSTAR ENERGY LP,72211,1416173,1368911,0,47262
NUSTAR GP HOLDINGS LLC,31851,1133881,1075981,0,57900
NUTRACEUTICAL INTL CORP,421,15732,15732,0,0
NUTRI SYS INC NEW,1037,63080,63080,0,0
NUVASIVE INC,18534,573285,573285,0,0
NUVEEN BUILD AMER BD FD,1693,91797,91797,0,0
NUVEEN BUILD AMER BD OPPTNY,422,21702,21702,0,0
NUVEEN CA DIVIDEND ADV MUN F,860,66958,66958,0,0
NUVEEN CA MUN MKT OPPORTUNT,237,17513,17513,0,0
NUVEEN CA SELECT QUALITY MUN,678,49250,49250,0,0
NUVEEN CONN PREM INCOME MUN,322,27799,27799,0,0
NUVEEN DIVER CURRENCY OPPOR,307,30439,30439,0,0
NUVEEN DIVERSIFIED DIV INCM,1082,96009,96009,0,0
NUVEEN GBL VL OPPORTUNITIES,194,14747,14747,0,0
NUVEEN MICH QUALITY INCOME M,592,47284,47284,0,0
NUVEEN MTG OPPORTUNITY TERM,920,39737,39737,0,0
NUVEEN MUN ADVANTAGE FD INC,1495,122903,122903,0,0
NUVEEN MUN INCOME FD INC,260,25699,25699,0,0
NUVEEN MUN OPPORTUNITY FD IN,3039,229895,229895,0,0
NUVEEN MUN VALUE FD INC,4358,482049,482049,0,0
NUVEEN NY AMT-FREE MUN INCOM,1757,143115,143115,0,0
NUVEEN NY DIV ADVANTG MUN FD,183,14659,14659,0,0
NUVEEN NY DIVID ADVNTG MUN F,207,16299,16299,0,0
NUVEEN NY MUN VALUE FD,192,21900,21900,0,0
NUVEEN PFD INCOME OPPRTNY FD,905,102009,102009,0,0
NUVEEN PREM INCOME MUN FD,2114,171433,171433,0,0
NUVEEN PREM INCOME MUN FD 4,1405,115827,115827,0,0
NUVEEN PREMIER MUN INCOME FD,643,51967,51967,0,0
NUVEEN QUALITY MUN FD INC,1154,95519,95519,0,0
NUVEEN QUALITY PFD INC FD 3,187,23760,23760,0,0
NUVEEN QUALITY PFD INCOME FD,1562,198198,198198,0,0
NUVEEN SELECT MAT MUN FD,349,36199,36199,0,0
NUVEEN SELECT QUALITY MUN FD,1325,106818,106818,0,0
NUVEEN SELECT TAX FREE INCM,1080,85648,85648,0,0
NUVEEN TEX QUALITY INCOME MU,330,25699,25699,0,0
NUVERRA ENVIRONMENTAL SOLUTI,536,31942,31942,0,0
NVE CORP,298,5110,5110,0,0
NVIDIA CORP,387940,24216013,24051705,79463,84845
NVR INC,24198,23585,23585,0,0
NXP SEMICONDUCTORS N V,11055,240711,240711,0,0
O REILLY AUTOMOTIVE INC NEW,67306,522934,488215,0,34719
OAKTREE CAP GROUP LLC,20610,350272,350272,0,0
OASIS PETE INC NEW,15493,329851,307896,0,21955
OCCIDENTAL PETE CORP DEL,359587,3781156,3391490,28717,360949
OCEAN RIG UDW INC,19250,1000000,1000000,0,0
OCEANEERING INTL INC,17009,215626,214105,0,1521
OCEANFIRST FINL CORP,440,25676,25676,0,0
OCH ZIFF CAP MGMT GROUP,16551,1118311,1103911,0,14400
OCI PARTNERS LP,33046,1197300,1197300,0,0
OCI RES LP,2569,125395,125395,0,0
OCLARO INC,6760,2714778,2714778,0,0
OCWEN FINL CORP,12748,229897,229897,0,0
OCZ TECHNOLOGY GROUP INC,14,374540,374540,0,0
ODYSSEY MARINE EXPLORATION I,165,81889,81889,0,0
OFFICE DEPOT INC,31797,6010797,5726766,0,284031
OFG BANCORP,235,13542,13542,0,0
OGE ENERGY CORP,16270,479934,476462,0,3472
OHR PHARMACEUTICAL INC,1074,136288,136288,0,0
OI S.A.,2812,1720685,1720685,0,0
OIL STS INTL INC,120705,1186648,1179329,0,7319
OILTANKING PARTNERS L P,123344,1987176,1987176,0,0
OLD DOMINION FGHT LINES INC,5589,105413,98923,0,6490
OLD NATL BANCORP IND,5376,349781,349781,0,0
OLD REP INTL CORP,45097,2611273,2611273,0,0
OLIN CORP,13901,481817,481817,0,0
OLYMPIC STEEL INC,11551,398586,378076,0,20510
OM GROUP INC,6098,167491,167491,0,0
OMEGA HEALTHCARE INVS INC,62711,2104399,2091029,0,13370
OMEGA PROTEIN CORP,817,66486,66486,0,0
OMEROS CORP,323,28599,28599,0,0
OMNICARE CAP TR I,740,10000,10000,0,0
OMNICARE CAP TR II,15195,204727,204727,0,0
OMNICARE INC,87656,1452226,1452226,0,0
OMNICELL INC,4244,166246,166246,0,0
OMNICOM GROUP INC,69543,935084,934043,0,1041
OMNIVISION TECHNOLOGIES INC,820,47661,47661,0,0
OMNOVA SOLUTIONS INC,518,56839,56839,0,0
ON ASSIGNMENT INC,6721,192464,192464,0,0
ON SEMICONDUCTOR CORP,6669,809393,779561,0,29832
ONCOMED PHARMACEUTICALS INC,799,27054,27054,0,0
ONCOTHYREON INC,37,20948,20948,0,0
ONEBEACON INSURANCE GROUP LT,183,11548,11548,0,0
ONEOK INC NEW,137980,2219042,2131327,0,87715
ONEOK PARTNERS LP,186597,3544104,3371374,0,172730
OPEN TEXT CORP,3883,42214,42214,0,0
OPENTABLE INC,6122,77137,76185,0,952
OPEXA THERAPEUTICS INC,31,17200,17200,0,0
OPHTHOTECH CORP,796,24611,24611,0,0
OPKO HEALTH INC,15021,1779818,1779818,0,0
OPLINK COMMUNICATIONS INC,930,50005,50005,0,0
ORACLE CORP,961421,25128632,19357323,114482,5656827
ORANGE,3566,288677,288677,0,0
ORASURE TECHNOLOGIES INC,1115,177249,177249,0,0
ORBCOMM INC,412,65021,65021,0,0
ORBITAL SCIENCES CORP,5144,220745,220745,0,0
ORBITZ WORLDWIDE INC,1720,239624,239624,0,0
ORBOTECH LTD,274,20250,20250,0,0
OREXIGEN THERAPEUTICS INC,576,102270,102270,0,0
ORGANOVO HLDGS INC,239,21567,21567,0,0
ORIENT-EXPRESS HOTELS LTD,762,50443,50443,0,0
ORIGIN AGRITECH LIMITED,106,83527,83527,0,0
ORION MARINE GROUP INC,675,56086,56086,0,0
ORITANI FINL CORP DEL,19596,1220974,1155245,0,65729
ORIX CORP,3393,38076,38076,0,0
ORMAT TECHNOLOGIES INC,1078,39590,39590,0,0
ORRSTOWN FINL SVCS INC,481,29413,29413,0,0
ORTHOFIX INTL N V,2605,114159,114159,0,0
OSHKOSH CORP,8888,176423,175923,0,500
OSI SYSTEMS INC,2987,56245,56245,0,0
OSIRIS THERAPEUTICS INC NEW,225,13975,13975,0,0
OTTER TAIL CORP,2066,70586,70586,0,0
OUTERWALL INC,16223,241162,241162,0,0
OVERSTOCK COM INC DEL,246,7977,7977,0,0
OWENS & MINOR INC NEW,5695,155772,155772,0,0
OWENS CORNING NEW,6373,156515,152876,0,3639
OWENS ILL INC,21993,614675,614675,0,0
OXFORD INDS INC,2780,34459,34459,0,0
P T TELEKOMUNIKASI INDONESIA,2385,66534,66534,0,0
PACCAR INC,72954,1232957,1232030,0,927
PACER INTL INC TENN,1401,169538,169538,0,0
PACIFIC BIOSCIENCES CALIF IN,64,12179,12179,0,0
PACIFIC CONTINENTAL CORP,698,43796,43796,0,0
PACIFIC DRILLING SA LUXEMBOU,37656,3285853,3285853,0,0
PACIFIC MERCANTILE BANCORP,63,10158,10158,0,0
PACIFIC SUNWEAR CALIF INC,92,27410,27410,0,0
PACIRA PHARMACEUTICALS INC,385,6695,6695,0,0
PACKAGING CORP AMER,173322,2738977,2667578,8261,63138
PACTERA TECHNOLOGY INTL LTD,139,19484,19484,0,0
PACWEST BANCORP DEL,63543,1505044,1429142,0,75902
PALL CORP,29829,349486,349059,0,427
PALO ALTO NETWORKS INC,10951,190561,175451,0,15110
PAN AMERICAN SILVER CORP,3126,267189,267189,0,0
PANDORA MEDIA INC,114005,4285944,4170879,21330,93735
PANERA BREAD CO,95800,542194,522448,3414,16332
PANHANDLE OIL AND GAS INC,578,17303,17303,0,0
PANTRY INC,1649,98283,98283,0,0
PAPA JOHNS INTL INC,7829,172446,172446,0,0
PARAMOUNT GOLD & SILVER CORP,114,122454,122454,0,0
PAREXEL INTL CORP,11891,263183,263183,0,0
PARK ELECTROCHEMICAL CORP,1264,44000,44000,0,0
PARK NATL CORP,1379,16213,16213,0,0
PARK OHIO HLDGS CORP,308,5871,5871,0,0
PARK STERLING CORP,181,25377,25377,0,0
PARKER DRILLING CO,2912,358209,358209,0,0
PARKER HANNIFIN CORP,54620,424593,418229,851,5513
PARKERVISION INC,674,148193,148193,0,0
PARKWAY PPTYS INC,15064,780921,780921,0,0
