nameOfIssuer,value,sshPrnamt,Sole,Shared,None
BLACKROCK MUNI INTER DR FD I,1414,101710,101710,0,0
BLACKROCK MUNIHLDGS NJ QLTY,607,46230,46230,0,0
BLACKROCK MUNIHLDGS NY QLTY,744,59598,59598,0,0
BLACKROCK MUNIHLDNGS CALI QL,1600,121034,121034,0,0
BLACKROCK MUNIY QUALITY FD I,689,58964,58964,0,0
BLACKROCK MUNIYIELD CALIF FD,820,59502,59502,0,0
BLACKROCK MUNIYIELD INVST FD,232,16924,16924,0,0
BLACKROCK MUNIYIELD NY QLTY,927,76737,76737,0,0
BLACKROCK MUNIYIELD PA QLTY,374,29159,29159,0,0
BLACKROCK MUNIYLD INVST QLTY,366,29907,29907,0,0
BLACKROCK MUNIYLD MICH QLTY,1176,96771,96771,0,0
BLACKROCK REAL ASSET EQUITY,533,61240,61240,0,0
BLACKSTONE GROUP L P,85287,2707539,2381521,0,326018
BLACKSTONE MTG TR INC,62098,2288904,2167203,0,121701
BLDRS INDEX FDS TR,778,20941,20941,0,0
BLOCK H & R INC,33636,1158266,1157406,0,860
BLOOMIN BRANDS INC,46976,1956523,1879045,0,77478
BLOUNT INTL INC NEW,937,64762,64762,0,0
BLUCORA INC,9244,317027,317027,0,0
BLUE NILE INC,1458,30973,30973,0,0
BLUEBIRD BIO INC,758,36149,36149,0,0
BLUELINX HLDGS INC,23,11717,11717,0,0
BLYTH INC,2497,229526,229526,0,0
BOARDWALK PIPELINE PARTNERS,3104,121627,121627,0,0
BOB EVANS FARMS INC,2640,52195,52195,0,0
BODY CENT CORP,567,143833,143833,0,0
BOEING CO,1147462,8406928,6607649,69108,1730171
BOFI HLDG INC,1909,24341,24341,0,0
BOINGO WIRELESS INC,154,24102,24102,0,0
BOISE CASCADE CO DEL,286,9687,9687,0,0
BOK FINL CORP,9183,138457,137531,0,926
BONA FILM GROUP LTD,178,30942,30942,0,0
BONANZA CREEK ENERGY INC,8616,198203,180028,0,18175
BOOZ ALLEN HAMILTON HLDG COR,521,27232,27232,0,0
BORGWARNER INC,55775,997575,997575,0,0
